,Date,Company,Market,StatCaseVolume,StatCaseBaseVolume,StatCaseInc'lVolume,DollarSales,BaseDollars,IncrementalDollars,ACVWtdDist,AvgItemsperStore,AvgPrice/Vol,AvgWklyVolumeSalesper$MMACV,WklyTtlDistPoints,"WtdAvg%PrcRed,AnyMerch","WtdAvg%PrcRed,Feature&/orDisplay","WtdAvg%PrcRed,PrcRedOnly",WtdBasePriceperVolume,"%BaseVolume,AnyMerch","%BaseVolume,Feature&/orDisplay","%BaseVolume,PrcRedOnly",MarkdownDollars
9375,Week16,Company1,Region21,94,2,33,98,20,76,96,53,40,62,70,49,4,81,0,7,71,0,97
9376,Week17,Company1,Region21,12,14,60,4,26,50,18,45,7,19,90,31,51,91,54,4,40,56,45
9377,Week18,Company1,Region21,25,49,5,54,34,41,84,74,27,32,90,76,66,8,66,17,12,82,39
9378,Week19,Company1,Region21,93,96,26,21,22,53,99,85,55,69,28,34,43,93,26,18,48,83,36
9379,Week20,Company1,Region21,15,11,27,4,15,41,88,83,31,79,8,77,32,67,21,37,30,59,77
9380,Week21,Company1,Region21,66,37,9,65,99,36,89,19,26,38,66,96,78,71,18,79,67,98,86
9381,Week22,Company1,Region21,89,75,88,48,51,49,74,69,75,44,52,67,49,42,68,2,12,100,32
9382,Week23,Company1,Region21,58,37,70,40,91,93,39,92,57,13,94,72,15,34,71,61,43,5,78
9383,Week24,Company1,Region21,58,66,43,10,51,33,76,7,23,60,95,3,5,36,83,94,100,82,77
9384,Week25,Company1,Region21,44,26,18,26,40,14,47,2,71,19,15,11,66,36,14,28,86,67,22
9385,Week26,Company1,Region21,87,93,89,43,20,5,20,38,85,64,39,23,44,30,87,48,55,47,86
9386,Week27,Company1,Region21,59,29,95,22,96,29,11,10,45,46,33,20,6,99,23,26,24,36,74
9387,Week28,Company1,Region21,78,0,83,40,46,58,65,24,26,24,16,20,6,34,66,38,3,20,97
9388,Week29,Company1,Region21,77,19,63,71,72,70,13,24,39,55,21,92,28,88,0,33,46,97,86
9389,Week30,Company1,Region21,46,44,52,74,97,51,82,99,100,22,77,31,12,4,62,1,2,6,22
9390,Week31,Company1,Region21,38,68,29,13,71,59,66,71,17,61,83,44,90,26,20,61,49,10,59
9391,Week32,Company1,Region21,70,9,43,65,59,21,35,84,20,42,32,95,66,10,58,48,12,59,36
9392,Week33,Company1,Region21,75,47,83,64,45,21,40,93,36,5,63,9,25,54,56,17,38,54,50
9393,Week34,Company1,Region21,66,5,90,8,66,0,96,13,90,54,8,90,3,6,33,62,93,14,12
9394,Week35,Company1,Region21,2,72,32,56,18,63,14,46,68,64,98,85,22,45,37,58,10,10,21
9395,Week36,Company1,Region21,14,43,0,37,6,57,89,36,27,83,25,12,73,13,7,74,22,91,68
9396,Week37,Company1,Region21,10,44,77,60,45,27,98,98,88,76,85,30,38,10,41,56,54,75,73
9397,Week38,Company1,Region21,30,44,7,1,8,45,29,68,38,33,44,61,79,26,77,12,65,20,60
9398,Week39,Company1,Region21,53,91,49,19,43,37,14,30,76,97,44,65,93,49,83,13,74,57,71
9399,Week40,Company1,Region21,66,36,24,13,10,39,56,65,67,55,34,9,6,77,9,33,54,19,98
9400,Week41,Company1,Region21,52,45,69,19,28,70,74,80,80,97,52,71,32,65,64,18,15,85,45
9401,Week42,Company1,Region21,59,13,62,34,17,26,40,8,73,22,82,97,56,7,6,94,100,28,56
9402,Week43,Company1,Region21,1,27,54,60,11,71,80,42,40,14,67,33,76,58,79,42,91,3,90
9403,Week44,Company1,Region21,82,89,73,45,51,81,1,73,96,45,49,70,82,41,38,20,68,23,26
9404,Week45,Company1,Region21,14,30,86,98,46,23,17,6,41,3,15,63,26,24,1,78,3,89,3
9405,Week46,Company1,Region21,59,41,40,69,82,75,63,81,82,61,79,28,94,46,69,90,50,1,78
9406,Week47,Company1,Region21,9,27,86,31,38,19,87,9,54,66,49,88,61,0,56,5,5,93,3
9407,Week48,Company1,Region21,18,90,77,60,58,23,49,1,99,6,2,87,55,5,32,32,40,49,18
9408,Week49,Company1,Region21,81,86,24,78,9,40,27,10,57,75,39,38,69,6,60,61,56,67,42
9409,Week50,Company1,Region21,61,83,71,76,66,48,41,19,48,42,33,28,30,83,70,100,63,81,89
9410,Week51,Company1,Region21,92,47,24,32,8,66,96,27,24,86,17,54,91,19,15,71,9,4,61
9411,Week52,Company1,Region21,85,84,30,44,82,85,35,89,74,37,88,40,37,34,39,62,94,64,92
9412,Week53,Company1,Region21,36,48,18,55,11,32,68,27,0,99,61,31,52,31,65,82,83,57,19
9413,Week54,Company1,Region21,63,82,55,16,51,53,23,60,39,96,99,41,29,30,61,3,3,3,72
9414,Week55,Company1,Region21,8,1,32,55,84,31,58,30,56,95,5,86,11,38,71,18,41,23,74
9415,Week56,Company1,Region21,71,98,88,68,19,38,75,85,19,88,58,66,85,90,60,71,71,46,90
9416,Week57,Company1,Region21,84,73,69,7,75,11,91,68,2,85,20,52,59,57,18,98,51,11,30
9417,Week58,Company1,Region21,62,21,38,18,68,10,9,22,55,82,31,4,63,45,90,78,34,94,83
9418,Week59,Company1,Region21,64,69,32,34,90,70,63,23,35,83,55,59,36,57,16,58,71,83,86
9419,Week60,Company1,Region21,54,3,11,17,82,28,100,11,87,28,4,49,50,10,31,57,69,97,61
9420,Week61,Company1,Region21,33,75,91,21,47,14,46,41,95,1,58,37,90,79,73,90,45,99,51
9421,Week62,Company1,Region21,34,16,9,4,100,90,44,4,22,39,65,68,92,36,19,45,42,19,6
9422,Week63,Company1,Region21,46,10,85,3,15,92,62,72,22,35,27,62,60,48,18,92,11,72,38
9423,Week64,Company1,Region21,47,56,90,77,32,58,72,67,8,85,78,86,26,16,93,19,37,79,54
9424,Week65,Company1,Region21,88,40,21,21,10,26,86,11,81,24,55,39,83,92,36,83,73,77,100
9425,Week66,Company1,Region21,92,78,94,10,95,49,73,9,94,51,52,2,66,96,96,37,16,78,40
9426,Week67,Company1,Region21,66,87,33,4,42,44,26,82,11,42,53,32,85,30,51,80,19,17,79
9427,Week68,Company1,Region21,30,34,69,68,13,80,7,67,95,97,9,66,86,54,19,86,25,42,85
9428,Week69,Company1,Region21,97,59,25,93,57,100,20,6,59,10,16,12,97,50,88,0,32,20,62
9429,Week70,Company1,Region21,15,100,6,61,39,91,19,11,79,51,90,12,94,48,9,3,69,96,89
9430,Week71,Company1,Region21,41,97,52,42,1,74,17,13,87,44,4,74,96,5,17,78,39,49,65
9431,Week72,Company1,Region21,63,88,33,89,87,20,90,7,89,82,90,93,48,87,54,8,95,49,69
9432,Week73,Company1,Region21,83,42,16,43,95,29,10,43,65,29,94,39,9,91,77,40,7,29,51
9433,Week74,Company1,Region21,45,52,93,67,92,61,22,29,94,81,60,63,17,83,27,84,77,21,44
9434,Week75,Company1,Region21,55,56,37,73,80,59,61,78,32,60,34,73,72,100,37,58,59,59,1
9435,Week76,Company1,Region21,90,73,46,96,40,15,6,74,79,19,88,24,3,73,59,54,60,62,34
9436,Week77,Company1,Region21,82,23,39,76,92,37,55,9,71,19,14,18,46,19,99,85,58,59,65
9437,Week78,Company1,Region21,88,42,82,90,56,6,39,27,3,42,48,39,12,32,29,97,97,48,79
9438,Week79,Company1,Region21,25,18,29,31,26,25,31,65,85,43,12,65,82,45,57,48,59,4,9
9439,Week80,Company1,Region21,57,20,44,50,10,19,8,90,18,50,43,56,73,29,68,1,69,77,7
9440,Week81,Company1,Region21,8,67,90,1,57,31,63,25,33,90,99,22,78,25,35,9,94,86,30
9441,Week82,Company1,Region21,92,53,82,60,71,15,48,36,12,78,33,58,77,83,1,78,95,70,90
9442,Week83,Company1,Region21,12,44,48,16,17,0,81,88,42,54,7,67,72,3,15,21,87,73,51
9443,Week84,Company1,Region21,30,5,37,87,2,9,18,86,42,80,70,17,59,59,68,98,78,58,96
9444,Week85,Company1,Region21,72,9,47,29,45,52,4,5,15,30,84,5,76,50,88,59,5,50,8
9445,Week86,Company1,Region21,6,82,34,95,65,33,87,63,94,63,20,50,17,55,13,85,24,34,75
9446,Week87,Company1,Region21,50,11,71,32,73,13,6,40,10,68,10,3,1,89,57,23,80,2,94
9447,Week88,Company1,Region21,37,33,35,55,27,14,31,1,94,40,20,34,6,38,13,44,36,14,33
9448,Week89,Company1,Region21,79,59,1,43,58,61,38,97,91,34,29,77,10,61,90,36,17,80,14
9449,Week90,Company1,Region21,50,74,32,1,16,73,26,55,0,33,27,85,80,68,85,38,34,22,84
9450,Week91,Company1,Region21,86,93,7,87,2,87,27,58,39,20,32,30,70,22,40,44,9,35,60
9451,Week92,Company1,Region21,69,78,28,78,15,26,59,25,88,97,75,55,96,30,78,2,79,28,21
9452,Week93,Company1,Region21,11,6,69,60,6,96,9,85,87,79,91,75,44,27,21,72,11,38,17
9453,Week94,Company1,Region21,80,36,70,86,55,68,4,24,21,37,96,95,9,61,35,29,95,36,42
9454,Week95,Company1,Region21,69,7,12,62,42,61,71,52,5,21,53,74,14,27,58,51,93,31,69
9455,Week96,Company1,Region21,15,90,31,42,35,54,51,14,5,19,33,61,34,59,48,6,7,66,40
9456,Week97,Company1,Region21,94,74,67,21,24,44,43,20,35,75,70,34,9,0,15,62,70,38,97
9457,Week98,Company1,Region21,15,59,54,28,96,53,55,78,55,21,38,45,34,31,77,77,41,11,46
9458,Week99,Company1,Region21,39,38,96,32,27,50,85,74,20,47,78,36,42,7,66,43,50,41,60
9459,Week100,Company1,Region21,94,60,27,36,68,47,35,73,99,33,32,89,61,79,1,79,55,65,84
9460,Week101,Company1,Region21,91,95,19,13,91,22,94,59,24,71,15,42,73,23,35,62,53,17,29
9461,Week102,Company1,Region21,9,82,23,79,36,58,12,83,54,19,50,80,34,68,49,42,77,4,29
9462,Week103,Company1,Region21,70,67,86,94,52,82,16,37,74,26,8,83,57,79,50,19,67,4,47
9463,Week104,Company1,Region21,59,15,75,15,14,26,91,74,73,86,2,44,34,25,33,10,86,28,62
9464,Week105,Company1,Region21,55,39,94,63,94,71,26,19,25,20,5,30,2,23,30,94,41,72,47
9465,Week106,Company1,Region21,64,31,19,15,77,88,61,27,91,10,100,88,29,52,3,64,97,51,55
9466,Week107,Company1,Region21,52,13,24,10,40,11,14,70,66,4,20,14,82,95,45,15,100,78,61
9467,Week108,Company1,Region21,0,82,59,11,60,44,83,99,3,41,10,10,71,87,44,43,68,84,7
9468,Week109,Company1,Region21,89,94,74,1,46,57,71,49,56,39,91,13,84,60,16,70,0,54,76
9469,Week110,Company1,Region21,98,36,99,16,15,46,77,72,14,78,55,37,50,59,2,40,90,80,62
9470,Week111,Company1,Region21,69,51,60,44,63,10,73,38,7,88,73,8,36,2,62,63,97,58,58
9471,Week112,Company1,Region21,92,91,53,56,47,4,10,87,44,28,17,97,97,43,98,62,58,4,9
9472,Week113,Company1,Region21,52,5,37,62,15,2,26,42,14,86,5,1,49,20,56,64,23,46,46
9473,Week114,Company1,Region21,47,44,38,25,2,14,2,77,94,38,79,50,42,36,36,3,10,54,63
9474,Week115,Company1,Region21,98,70,87,66,66,49,17,13,13,66,80,13,36,80,94,57,36,77,55
9475,Week116,Company1,Region21,95,35,62,3,48,24,25,61,89,62,10,12,43,21,65,94,37,23,75
9476,Week117,Company1,Region21,99,15,93,26,23,36,46,72,92,55,77,42,55,39,94,37,24,3,63
9477,Week118,Company1,Region21,40,14,33,30,54,1,69,88,31,46,75,60,71,66,63,82,91,4,13
9478,Week119,Company1,Region21,92,46,0,20,66,76,90,12,38,6,17,37,88,77,22,79,49,41,26
9479,Week120,Company1,Region21,69,20,57,5,83,35,14,35,26,7,51,1,68,73,89,24,85,84,99
9480,Week121,Company1,Region21,59,99,54,75,65,20,41,26,83,20,48,98,9,96,11,17,84,89,7
9481,Week122,Company1,Region21,68,13,52,58,33,84,79,54,85,18,92,90,31,75,1,96,61,17,59
9482,Week123,Company1,Region21,51,89,49,3,76,60,3,65,96,39,10,3,79,26,35,31,21,45,19
9483,Week124,Company1,Region21,73,55,50,72,36,39,6,27,69,42,34,52,56,26,92,0,18,75,6
9484,Week125,Company1,Region21,1,4,40,30,64,91,61,57,64,65,55,89,33,90,1,12,55,70,21
9485,Week126,Company1,Region21,7,45,76,91,72,0,86,38,75,49,89,73,83,83,1,45,96,30,60
9486,Week127,Company1,Region21,88,86,65,57,36,23,48,37,62,91,40,30,74,36,20,58,74,94,15
9487,Week128,Company1,Region21,78,8,10,1,51,12,56,55,67,77,35,29,12,76,60,13,81,77,98
9488,Week129,Company1,Region21,61,87,77,11,68,31,41,22,46,93,36,64,31,39,53,8,59,72,33
9489,Week130,Company1,Region21,10,1,34,78,97,55,38,33,56,94,82,17,14,53,78,88,96,93,15
9490,Week131,Company1,Region21,77,47,42,5,88,58,72,18,67,30,30,73,54,75,28,69,64,73,57
9491,Week132,Company1,Region21,68,50,55,29,93,90,53,56,13,77,97,69,60,16,63,11,63,80,30
9492,Week133,Company1,Region21,91,7,87,80,54,32,9,14,34,72,86,6,65,24,24,50,68,48,78
9493,Week134,Company1,Region21,57,43,46,34,65,62,63,92,36,35,70,49,1,30,12,8,13,82,15
9494,Week135,Company1,Region21,23,76,10,67,43,27,42,74,66,60,4,63,9,16,21,16,99,58,58
9495,Week136,Company1,Region21,5,96,47,61,54,78,81,19,61,94,10,7,14,27,6,58,99,36,24
9496,Week137,Company1,Region21,91,10,61,62,26,99,55,12,29,33,14,82,60,87,80,88,20,31,46
9497,Week138,Company1,Region21,58,78,22,15,18,25,85,72,20,68,91,7,14,8,65,86,72,50,21
9498,Week139,Company1,Region21,75,4,11,46,96,3,57,67,46,38,28,20,17,82,57,46,67,82,33
9499,Week140,Company1,Region21,33,11,22,79,13,63,98,47,1,83,37,9,20,39,62,8,30,95,21
9500,Week141,Company1,Region21,58,95,66,10,7,43,4,2,27,84,78,97,29,51,78,62,94,76,61
9501,Week142,Company1,Region21,48,47,94,81,70,30,82,6,84,88,28,23,44,60,48,98,32,95,56
9502,Week143,Company1,Region21,16,5,50,46,55,8,94,51,34,24,77,8,65,58,96,89,59,80,7
9503,Week144,Company1,Region21,3,15,78,49,2,77,36,88,21,96,50,13,51,26,16,90,35,11,16
9504,Week145,Company1,Region21,66,28,42,15,4,65,27,17,23,34,9,56,76,27,22,7,57,60,55
9505,Week146,Company1,Region21,76,96,29,4,76,73,81,48,48,97,73,14,37,43,28,100,56,0,98
9506,Week147,Company1,Region21,77,50,88,37,11,33,59,24,68,50,78,51,27,33,39,48,14,65,18
9507,Week148,Company1,Region21,39,64,85,20,36,29,23,32,26,6,60,20,95,77,82,84,8,24,62
9508,Week149,Company1,Region21,45,12,13,21,89,28,54,89,92,66,2,5,20,1,77,73,62,67,59
9509,Week150,Company1,Region21,4,60,93,54,19,24,78,44,72,55,9,89,89,39,16,39,85,41,18
9510,Week151,Company1,Region21,16,25,71,87,8,15,83,61,47,74,87,50,81,44,0,7,21,66,79
9511,Week152,Company1,Region21,13,36,92,7,55,66,99,58,90,19,31,95,4,63,55,44,14,54,47
9512,Week153,Company1,Region21,70,75,36,12,22,11,81,22,25,92,56,100,61,20,33,81,55,79,36
9513,Week154,Company1,Region21,43,66,6,89,45,93,68,59,76,0,63,21,52,36,24,25,52,13,84
9514,Week155,Company1,Region21,38,75,37,82,51,22,15,23,37,94,19,91,41,82,24,23,43,5,20
9515,Week156,Company1,Region21,52,22,44,77,9,65,88,40,66,66,60,63,95,10,47,60,46,92,97
9516,Week1,Competitor1,Region21,13,79,9,23,59,59,40,10,88,81,61,82,90,1,73,91,0,11,7
9517,Week2,Competitor1,Region21,52,91,81,43,56,67,7,22,34,49,5,60,63,26,8,66,57,71,77
9518,Week3,Competitor1,Region21,39,47,46,52,19,37,54,31,0,10,63,84,16,52,12,70,65,61,44
9519,Week4,Competitor1,Region21,13,65,72,83,84,69,72,97,99,27,28,16,16,84,11,39,4,48,99
9520,Week5,Competitor1,Region21,73,88,65,66,44,54,75,80,91,19,87,86,81,80,10,2,85,75,82
9521,Week6,Competitor1,Region21,35,41,38,53,3,36,17,58,14,18,78,5,49,16,9,53,9,26,20
9522,Week7,Competitor1,Region21,63,72,58,50,96,28,28,1,29,91,78,30,62,80,64,91,81,52,35
9523,Week8,Competitor1,Region21,36,2,98,65,74,84,76,40,72,66,4,15,3,47,28,78,44,90,42
9524,Week9,Competitor1,Region21,49,45,70,8,53,46,85,48,84,12,42,5,35,96,61,8,97,97,8
9525,Week10,Competitor1,Region21,64,74,41,39,58,91,79,23,19,100,78,35,84,29,62,32,9,85,91
9526,Week11,Competitor1,Region21,31,34,35,90,26,54,44,92,0,46,42,75,23,94,70,85,32,34,78
9527,Week12,Competitor1,Region21,54,100,88,97,99,91,50,90,42,72,98,26,39,25,83,46,42,2,98
9528,Week13,Competitor1,Region21,30,80,87,19,46,66,12,6,89,98,22,66,2,51,76,85,93,29,61
9529,Week14,Competitor1,Region21,9,7,19,44,60,5,28,15,86,43,17,40,66,38,34,16,40,97,13
9530,Week15,Competitor1,Region21,14,16,34,5,81,80,1,35,91,85,2,53,68,16,67,51,78,4,1
9531,Week16,Competitor1,Region21,63,79,6,53,42,66,50,81,75,89,96,93,87,50,26,92,28,88,46
9532,Week17,Competitor1,Region21,70,50,30,51,42,89,18,81,83,59,30,12,19,43,42,26,57,85,82
9533,Week18,Competitor1,Region21,20,45,8,93,39,8,91,27,22,54,66,18,64,29,51,85,11,44,23
9534,Week19,Competitor1,Region21,30,5,35,81,28,99,55,84,2,16,4,54,80,19,73,17,60,83,55
9535,Week20,Competitor1,Region21,81,53,95,69,81,74,60,36,27,9,76,0,86,57,10,17,65,18,96
9536,Week21,Competitor1,Region21,57,97,96,10,5,24,73,73,20,62,14,88,22,56,15,24,56,31,83
9537,Week22,Competitor1,Region21,39,78,59,58,63,64,43,32,100,13,25,69,35,58,48,51,2,86,35
9538,Week23,Competitor1,Region21,98,30,69,76,83,77,94,82,24,91,45,27,96,14,73,52,8,89,14
9539,Week24,Competitor1,Region21,50,23,44,15,35,33,69,83,62,65,10,17,27,18,28,26,61,75,13
9540,Week25,Competitor1,Region21,98,13,49,48,94,91,54,85,41,62,72,70,37,21,95,63,10,15,56
9541,Week26,Competitor1,Region21,84,87,35,100,37,68,9,10,73,56,47,92,9,26,51,62,43,41,52
9542,Week27,Competitor1,Region21,43,76,78,89,8,62,51,97,74,64,61,22,6,75,50,45,91,62,87
9543,Week28,Competitor1,Region21,0,39,3,66,30,91,48,73,45,19,52,67,22,80,81,30,62,91,19
9544,Week29,Competitor1,Region21,98,31,85,82,86,53,26,39,43,12,22,78,20,46,87,41,82,63,85
9545,Week30,Competitor1,Region21,40,95,66,39,90,2,0,55,41,46,49,50,98,72,74,34,80,10,71
9546,Week31,Competitor1,Region21,17,58,70,68,79,14,74,30,82,18,89,34,86,98,56,63,38,61,82
9547,Week32,Competitor1,Region21,11,87,91,60,73,41,17,100,40,79,11,18,84,43,72,87,58,67,63
9548,Week33,Competitor1,Region21,82,7,98,7,45,16,94,40,14,25,11,3,18,13,50,85,29,86,39
9549,Week34,Competitor1,Region21,7,17,100,93,30,19,11,29,45,61,0,66,91,35,41,100,75,25,84
9550,Week35,Competitor1,Region21,75,81,11,20,62,1,76,61,70,60,11,90,84,90,31,23,77,52,17
9551,Week36,Competitor1,Region21,95,4,22,49,39,96,80,88,38,52,86,9,46,10,75,39,80,5,48
9552,Week37,Competitor1,Region21,37,57,85,27,67,82,62,61,45,96,3,1,4,88,99,43,100,9,11
9553,Week38,Competitor1,Region21,41,83,99,68,9,6,99,92,98,18,64,88,54,46,18,35,90,19,35
9554,Week39,Competitor1,Region21,92,41,82,87,53,30,77,67,45,92,85,87,90,42,98,81,45,37,80
9555,Week40,Competitor1,Region21,15,97,91,95,31,97,85,84,37,98,78,48,0,20,77,52,2,10,36
9556,Week41,Competitor1,Region21,33,72,62,77,59,48,30,87,19,69,48,13,87,15,86,52,10,0,67
9557,Week42,Competitor1,Region21,83,80,77,95,62,62,95,57,54,43,65,34,85,60,14,24,84,35,58
9558,Week43,Competitor1,Region21,21,39,4,14,68,78,22,21,43,54,68,27,98,67,70,74,29,39,30
9559,Week44,Competitor1,Region21,15,41,17,80,100,71,11,20,92,43,93,56,58,49,4,35,57,3,99
9560,Week45,Competitor1,Region21,45,13,19,58,6,52,20,30,63,4,98,4,32,77,59,94,69,46,29
9561,Week46,Competitor1,Region21,70,4,38,6,15,8,55,54,64,89,52,43,18,95,11,31,86,42,78
9562,Week47,Competitor1,Region21,8,2,42,98,82,48,0,83,99,84,51,43,75,97,60,86,44,61,42
9563,Week48,Competitor1,Region21,47,45,20,60,62,53,32,38,72,57,37,36,100,35,20,80,77,58,52
9564,Week49,Competitor1,Region21,64,36,89,99,46,22,10,98,41,99,62,39,23,76,58,55,24,19,64
9565,Week50,Competitor1,Region21,25,97,17,21,7,7,84,27,26,48,86,67,32,14,82,33,54,73,53
9566,Week51,Competitor1,Region21,96,62,98,72,60,80,15,28,23,0,30,41,47,94,1,98,57,98,47
9567,Week52,Competitor1,Region21,2,37,12,83,16,55,89,78,35,91,16,68,7,53,23,1,58,49,19
9568,Week53,Competitor1,Region21,77,98,76,5,57,87,77,0,22,96,29,52,37,53,91,90,7,57,0
9569,Week54,Competitor1,Region21,45,18,42,65,18,54,55,91,2,86,57,26,5,51,6,100,40,18,14
9570,Week55,Competitor1,Region21,74,34,83,78,100,10,39,37,10,64,15,18,47,6,65,12,59,99,63
9571,Week56,Competitor1,Region21,32,98,64,50,75,50,21,35,46,51,15,91,32,85,91,10,77,97,33
9572,Week57,Competitor1,Region21,31,7,5,17,89,36,86,69,48,19,19,83,30,34,87,87,64,70,90
9573,Week58,Competitor1,Region21,11,78,65,68,68,56,67,89,39,43,43,94,79,57,70,53,54,59,22
9574,Week59,Competitor1,Region21,0,32,67,27,75,29,100,85,43,45,87,88,49,23,38,78,76,62,79
9575,Week60,Competitor1,Region21,26,85,3,93,31,44,27,2,77,71,87,100,85,25,25,28,78,5,22
9576,Week61,Competitor1,Region21,79,77,1,23,79,28,18,80,61,88,53,38,100,63,51,1,25,97,56
9577,Week62,Competitor1,Region21,90,88,95,0,47,69,5,30,13,73,46,57,34,70,97,28,51,88,69
9578,Week63,Competitor1,Region21,44,95,16,50,29,80,49,22,62,62,43,71,51,1,100,20,70,79,10
9579,Week64,Competitor1,Region21,9,12,82,60,3,38,82,87,16,76,4,73,76,89,71,84,17,79,19
9580,Week65,Competitor1,Region21,96,60,96,17,43,68,92,45,40,97,87,62,50,44,61,74,57,42,69
9581,Week66,Competitor1,Region21,59,40,95,92,51,27,46,74,43,69,26,33,28,55,27,70,76,18,61
9582,Week67,Competitor1,Region21,24,78,34,55,82,84,66,47,56,64,43,96,56,94,67,2,49,10,82
9583,Week68,Competitor1,Region21,21,89,10,18,75,75,72,41,5,52,85,3,95,20,42,86,69,14,82
9584,Week69,Competitor1,Region21,38,76,50,27,42,3,91,59,15,7,52,42,61,76,98,22,72,57,97
9585,Week70,Competitor1,Region21,57,87,40,99,16,25,99,51,14,99,4,38,89,99,66,94,61,10,94
9586,Week71,Competitor1,Region21,66,64,59,75,65,94,87,61,23,66,17,47,73,7,81,100,6,22,89
9587,Week72,Competitor1,Region21,36,82,49,41,68,53,6,26,36,95,58,19,62,32,21,6,27,61,47
9588,Week73,Competitor1,Region21,88,23,68,7,87,67,99,27,26,66,62,77,71,28,49,7,43,42,4
9589,Week74,Competitor1,Region21,72,66,0,95,13,25,1,83,64,60,16,10,96,87,74,33,73,33,63
9590,Week75,Competitor1,Region21,60,86,71,55,79,33,89,39,78,62,67,56,94,49,11,83,92,60,88
9591,Week76,Competitor1,Region21,35,96,16,99,28,14,32,85,12,54,78,16,34,87,53,72,23,39,11
9592,Week77,Competitor1,Region21,21,100,68,32,91,76,45,92,49,61,28,64,79,4,45,89,34,20,97
9593,Week78,Competitor1,Region21,13,19,60,82,53,55,20,95,51,81,14,71,68,50,7,33,9,88,91
9594,Week79,Competitor1,Region21,6,24,88,9,90,31,62,34,20,90,99,76,12,87,99,15,78,12,52
9595,Week80,Competitor1,Region21,53,41,52,52,69,58,57,37,85,18,13,43,75,37,39,63,1,43,21
9596,Week81,Competitor1,Region21,95,51,55,68,5,73,2,65,27,52,51,8,61,8,30,75,16,53,23
9597,Week82,Competitor1,Region21,82,19,62,30,92,57,58,88,45,61,74,4,6,5,15,2,97,74,70
9598,Week83,Competitor1,Region21,20,62,81,32,80,98,2,0,5,49,7,89,43,60,10,54,75,72,0
9599,Week84,Competitor1,Region21,23,49,65,14,6,31,78,67,35,71,0,63,82,72,83,17,88,24,62
9600,Week85,Competitor1,Region21,73,70,79,66,85,50,93,19,13,71,67,99,88,23,86,47,45,54,41
9601,Week86,Competitor1,Region21,27,61,88,29,39,96,75,19,29,65,22,39,36,5,64,61,95,95,75
9602,Week87,Competitor1,Region21,64,29,83,32,72,27,98,0,7,82,81,23,87,68,74,61,21,44,70
9603,Week88,Competitor1,Region21,39,1,76,31,81,98,74,91,8,59,94,42,62,5,56,24,55,73,31
9604,Week89,Competitor1,Region21,18,12,49,91,57,19,47,54,28,84,36,38,72,21,73,56,80,66,50
9605,Week90,Competitor1,Region21,68,35,84,26,50,39,49,96,25,57,5,29,58,72,57,57,16,14,56
9606,Week91,Competitor1,Region21,6,87,47,41,49,2,12,23,67,32,91,42,30,97,8,71,40,22,67
9607,Week92,Competitor1,Region21,96,63,25,47,34,76,2,96,42,24,46,53,18,28,2,29,43,51,26
9608,Week93,Competitor1,Region21,81,58,92,92,31,38,69,56,30,1,77,39,48,17,67,25,10,95,88
9609,Week94,Competitor1,Region21,98,83,21,60,94,8,99,65,70,30,57,91,43,26,22,43,9,78,16
9610,Week95,Competitor1,Region21,18,63,67,96,21,22,98,13,94,35,90,62,2,55,59,44,13,40,0
9611,Week96,Competitor1,Region21,94,21,47,69,67,19,15,88,90,78,69,77,98,29,85,33,16,48,16
9612,Week97,Competitor1,Region21,85,31,72,60,62,62,40,47,52,73,67,48,36,56,91,37,22,26,72
9613,Week98,Competitor1,Region21,44,0,63,2,53,31,10,75,59,74,54,42,51,21,43,23,70,30,97
9614,Week99,Competitor1,Region21,86,78,68,74,56,28,30,36,0,36,23,8,76,71,24,80,87,58,5
9615,Week100,Competitor1,Region21,62,6,61,9,62,16,26,34,77,87,16,79,60,26,5,23,35,30,51
9616,Week101,Competitor1,Region21,27,94,48,64,74,35,20,93,85,32,9,91,57,64,39,95,35,51,72
9617,Week102,Competitor1,Region21,36,71,82,20,44,75,35,98,21,17,99,18,0,72,69,57,75,52,39
9618,Week103,Competitor1,Region21,69,90,23,77,63,60,15,62,3,40,17,88,62,68,45,6,64,93,86
9619,Week104,Competitor1,Region21,5,35,25,62,47,66,0,88,65,1,50,58,89,42,33,12,27,67,57
9620,Week105,Competitor1,Region21,7,78,22,74,93,50,80,8,41,60,99,37,74,65,80,53,76,3,54
9621,Week106,Competitor1,Region21,31,41,45,49,46,0,21,38,44,20,90,82,54,94,79,80,94,72,23
9622,Week107,Competitor1,Region21,21,88,73,15,84,58,89,41,66,88,33,18,52,42,4,58,0,21,79
9623,Week108,Competitor1,Region21,31,47,25,23,22,33,77,14,71,93,64,4,44,60,86,93,54,57,16
9624,Week109,Competitor1,Region21,48,5,95,56,7,17,67,92,41,82,97,59,47,43,20,35,10,37,90
9625,Week110,Competitor1,Region21,79,55,30,28,12,9,47,76,7,9,68,39,76,83,36,36,59,14,27
9626,Week111,Competitor1,Region21,13,23,23,47,20,33,69,15,12,7,96,25,80,50,41,79,13,26,18
9627,Week112,Competitor1,Region21,75,62,21,32,7,23,69,28,3,98,0,20,9,24,88,69,60,5,1
9628,Week113,Competitor1,Region21,34,1,26,66,8,0,99,87,88,42,67,88,84,86,62,10,88,82,6
